"referrer_name","performer_name","performer_age","score_rd2","referral_code"
"Anthony","Dale",28,2,"8mr2p003 c3hvzmmf"
"Joseph","Mark",27,1,"uf72ev4j xwawbib9"
"Luke","Callum",26,2,"rk9z50x9 edu6c2zs"
"Timothy","Callum",26,2,"zmv1rlhs edu6c2zs"
"Joseph","Philip",24,2,"417tb0it r3eiye9q"
"Daniel","Jacob",28,3,"cyrgdbo2 hl5uwbhy"
"Toby","Dale",29,3,"nfbvhlga vh0tlvzv"
"David","Adam",28,2,"ghivsu4u 4r5xawqb"
"Toby","Callum",28,2,"wnrmsk1f 74m1i7sp"
"Andrew","Dylan",26,4,"sc4o9ct5 yby203ti"
"David","Dale",24,2,"kjynkgxb oa1leuk1"
